tax_payment_id,registration_no,apply_dt,from_date,to_date,amount,receipt_no,issue_dt
460360,NL01/L9685,14/07/2016,01/07/2016,30/06/2017,12916,KA24224,12/07/2016
460361,NL01/L9686,13/07/2016,01/07/2016,30/06/2017,12916,KA24227,12/07/2016
460363,NL01/L9687,13/07/2016,01/07/2016,30/06/2017,12916,KA24229,12/07/2016
460365,NL01/L9690,13/07/2016,01/07/2016,30/06/2017,12916,KA24231,12/07/2016
460366,NL01/L9691,13/07/2016,01/07/2016,30/06/2017,12916,KA24232,12/07/2016
460367,NL01/L9692,13/07/2016,01/07/2016,30/06/2017,12916,KA24234,12/07/2016
460369,NL01/L9693,13/07/2016,01/07/2016,30/06/2017,12916,KA24237,12/07/2016
460370,NL01/L9694,13/07/2016,01/07/2016,30/06/2017,12916,KA24238,12/07/2016
460371,NL01/L9695,13/07/2016,01/07/2016,30/06/2017,12916,KA24239,12/07/2016
460373,NL01/L9696,13/07/2016,01/07/2016,30/06/2017,12916,KA24245,12/07/2016
460375,NL01/L9698,13/07/2016,01/07/2016,30/06/2017,12916,KA24248,12/07/2016
460376,NL01/L9700,13/07/2016,01/07/2016,30/06/2017,12916,KA24249,12/07/2016
460378,NL01/L9701,13/07/2016,01/07/2016,30/06/2017,12916,KA24250,12/07/2016
460379,NL01/L9702,13/07/2016,01/07/2016,30/06/2017,12916,KA24252,12/07/2016
460380,NL01/L9703,13/07/2016,01/07/2016,30/06/2017,12916,KA24253,12/07/2016
460382,NL01/L9704,13/07/2016,01/07/2016,30/06/2017,12916,KA24255,12/07/2016
460383,NL01/L9705,13/07/2016,01/07/2016,30/06/2017,12916,KA24257,12/07/2017
460384,NL01/L9706,13/07/2016,01/07/2016,30/06/2017,12916,KA24258,12/07/2016
460385,NL01/L9707,13/07/2016,01/07/2016,30/06/2017,24259,KA24259,12/07/2016
460387,NL01/L9708,13/07/2016,01/07/2016,30/06/2017,12916,KA24260,12/07/2016
460331,NL01/L9868,13/07/2016,01/07/2016,30/06/2017,6572,KA24361,12/07/2016
460261,NL01/L9921,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460262,NL01/L9922,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460263,NL01/L9923,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460264,NL01/L9924,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460266,NL01/L9925,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460275,NL01/L9926,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460276,NL01/L9927,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460277,NL01/L9928,16/07/2016,01/07/2016,30/06/2017,,,15/07/2016
460332,NL01/L9936,13/07/2016,01/07/2016,30/06/2017,7660,KA24363,12/07/2016
460333,NL01/L9937,13/07/2016,01/07/2016,30/06/2017,7660,KA24364,12/07/2016
460334,NL01/L9938,13/07/2016,01/07/2016,30/06/2017,7660,KA24365,12/07/2016
460415,NL01/N0052,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460399,NL01/N0060,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460404,NL01/N0061,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460406,NL01/N0062,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460408,NL01/N0063,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460410,NL01/N0064,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460397,NL01/N0065,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460401,NL01/N0066,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460402,NL01/N0067,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460403,NL01/N0068,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460405,NL01/N0070,14/07/2016,01/10/2016,30/09/2017,,,28/07/2016
460362,NL01/N0118,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460390,NL01/N0277,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460394,NL01/N0294,14/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460412,NL01/N0301,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460335,NL01/N0310,13/07/2016,01/10/2016,30/09/2017,7356,KA24366,12/07/2016
460336,NL01/N0320,13/07/2016,01/10/2016,30/09/2017,7356,KA24367,12/07/2016
460546,NL01/N0321,16/07/2016,01/10/2016,30/09/2017,,,15/07/2016
460337,NL01/N0330,13/07/2016,01/10/2016,30/09/2017,7356,KA24368,12/07/2016
460338,NL01/N0340,13/07/2016,01/10/2016,30/09/2017,7356,KA24369,12/07/2016
460339,NL01/N0373,13/07/2016,01/10/2016,30/09/2017,5836,KA24370,12/07/2016
460340,NL01/N0374,13/07/2016,01/10/2016,30/09/2017,5838,KA24371,12/07/2016
460341,NL01/N0375,13/07/2016,01/10/2016,30/09/2017,5836,KA24372,12/07/2016
